"country_cl","year","age","trust_parliament","trust_government"
"Germany",2021,68,1,1
"Germany",2021,32,0,0
"Germany",2021,69,1,1
"Germany",2021,18,0,0
"Germany",2021,70,0,0
"Germany",2021,69,1,1
"Germany",2021,67,0,0
"Germany",2021,80,1,1
"Germany",2021,27,0,0
"Germany",2021,74,0,0
"Germany",2021,83,1,1
"Germany",2021,41,0,0
"Germany",2021,20,0,0
"Germany",2021,66,0,0
"Germany",2021,21,0,0
"Germany",2021,52,1,1
"Germany",2021,18,1,1
"Germany",2021,30,1,0
"Germany",2021,46,0,1
"Germany",2021,22,NA,NA
"Germany",2021,67,1,1
"Germany",2021,70,1,1
"Germany",2021,55,1,1
"Germany",2021,81,1,1
"Germany",2021,82,1,1
"Germany",2021,35,1,1
"Germany",2021,78,1,1
"Germany",2021,78,1,1
"Germany",2021,66,1,1
"Germany",2021,79,1,1
"Germany",2021,36,0,0
"Germany",2021,78,1,1
"Germany",2021,55,0,0
"Germany",2021,68,0,0
"Germany",2021,54,1,1
"Germany",2021,45,1,1
"Germany",2021,53,1,1
"Germany",2021,47,1,0
"Germany",2021,56,1,1
"Germany",2021,65,1,1
"Germany",2021,75,1,1
"Germany",2021,73,0,0
"Germany",2021,74,0,0
"Germany",2021,45,1,0
"Germany",2021,61,0,0
"Germany",2021,77,1,1
"Germany",2021,45,0,1
"Germany",2021,77,0,0
"Germany",2021,86,0,0
"Germany",2021,73,0,0
"Germany",2021,31,0,0
"Germany",2021,25,0,0
"Germany",2021,52,0,0
"Germany",2021,28,0,0
"Germany",2021,43,NA,NA
"Germany",2021,31,0,0
"Germany",2021,72,0,0
"Germany",2021,80,1,1
"Germany",2021,58,1,1
"Germany",2021,30,1,1
"Germany",2021,38,1,1
"Germany",2021,67,0,0
"Germany",2021,55,0,0
"Germany",2021,44,1,1
"Germany",2021,84,1,1
"Germany",2021,58,1,1
"Germany",2021,53,0,0
"Germany",2021,20,1,1
"Germany",2021,16,1,1
"Germany",2021,73,1,1
"Germany",2021,63,1,0
"Germany",2021,60,0,0
"Germany",2021,22,1,0
"Germany",2021,50,1,1
"Germany",2021,60,1,1
"Germany",2021,23,0,1
"Germany",2021,55,1,0
"Germany",2021,66,0,0
"Germany",2021,42,1,0
"Germany",2021,68,0,0
"Germany",2021,74,1,1
"Germany",2021,30,0,0
"Germany",2021,66,1,1
"Germany",2021,85,1,1
"Germany",2021,77,NA,1
"Germany",2021,72,1,1
"Germany",2021,46,1,1
"Germany",2021,25,0,0
"Germany",2021,37,0,1
"Germany",2021,61,1,1
"Germany",2021,40,1,1
"Germany",2021,30,NA,NA
"Germany",2021,66,1,1
"Germany",2021,53,1,0
"Germany",2021,77,1,1
"Germany",2021,19,0,0
"Germany",2021,89,1,1
"Germany",2021,24,0,0
"Germany",2021,69,1,1
"Germany",2021,41,1,1
"Germany",2021,82,1,1
"Germany",2021,25,1,1
"Germany",2021,23,1,1
"Germany",2021,57,1,1
"Germany",2021,70,1,1
"Germany",2021,39,1,1
"Germany",2021,53,1,1
"Germany",2021,50,1,1
"Germany",2021,69,1,1
"Germany",2021,75,0,0
"Germany",2021,77,0,0
"Germany",2021,25,1,1
"Germany",2021,35,1,1
"Germany",2021,60,0,0
"Germany",2021,54,0,0
"Germany",2021,49,0,0
"Germany",2021,21,1,1
"Germany",2021,21,1,1
"Germany",2021,53,1,1
"Germany",2021,69,1,1
"Germany",2021,71,0,1
"Germany",2021,50,0,0
"Germany",2021,80,0,1
"Germany",2021,46,1,1
"Germany",2021,69,1,1
"Germany",2021,72,0,0
"Germany",2021,69,0,0
"Germany",2021,28,1,1
"Germany",2021,36,1,1
"Germany",2021,79,1,1
"Germany",2021,45,0,0
"Germany",2021,46,1,1
"Germany",2021,83,NA,1
"Germany",2021,63,0,0
"Germany",2021,79,1,NA
"Germany",2021,78,0,1
"Germany",2021,73,0,1
"Germany",2021,63,1,1
"Germany",2021,24,1,1
"Germany",2021,61,1,1
"Germany",2021,31,1,1
"Germany",2021,85,1,1
"Germany",2021,71,1,1
"Germany",2021,84,1,1
"Germany",2021,58,1,1
"Germany",2021,56,0,1
"Germany",2021,75,1,1
"Germany",2021,71,1,1
"Germany",2021,71,0,0
"Germany",2021,39,0,0
"Germany",2021,26,1,1
"Germany",2021,20,1,0
"Germany",2021,32,0,0
"Germany",2021,33,0,0
"Germany",2021,61,1,1
"Germany",2021,73,0,0
"Germany",2021,71,1,1
"Germany",2021,87,0,0
"Germany",2021,36,1,1
"Germany",2021,53,0,0
"Germany",2021,44,0,0
"Germany",2021,21,0,0
"Germany",2021,67,1,1
"Germany",2021,31,1,1
"Germany",2021,72,1,1
"Germany",2021,49,0,0
"Germany",2021,68,0,0
"Germany",2021,66,0,0
"Germany",2021,46,1,1
"Germany",2021,68,0,0
"Germany",2021,67,0,0
"Germany",2021,93,1,1
"Germany",2021,33,0,0
"Germany",2021,45,1,1
"Germany",2021,74,1,1
"Germany",2021,61,0,0
"Germany",2021,57,1,1
"Germany",2021,39,0,0
"Germany",2021,54,0,0
"Germany",2021,67,NA,1
"Germany",2021,48,1,1
"Germany",2021,55,0,0
"Germany",2021,54,1,1
"Germany",2021,78,0,0
"Germany",2021,41,0,0
"Germany",2021,64,0,0
"Germany",2021,15,1,1
"Germany",2021,60,0,0
"Germany",2021,70,1,1
"Germany",2021,65,0,0
"Germany",2021,34,NA,1
"Germany",2021,82,NA,0
"Germany",2021,18,1,1
"Germany",2021,26,0,0
"Germany",2021,22,0,0
"Germany",2021,31,1,1
"Germany",2021,34,1,1
"Germany",2021,54,0,0
"Germany",2021,42,NA,NA
"Germany",2021,84,0,0
"Germany",2021,35,0,0
"Germany",2021,51,0,0
"Germany",2021,35,0,0
"Germany",2021,34,0,0
"Germany",2021,21,1,1
"Germany",2021,24,1,1
"Germany",2021,39,0,0
"Germany",2021,59,1,1
"Germany",2021,74,1,1
"Germany",2021,63,1,1
"Germany",2021,66,NA,NA
"Germany",2021,70,NA,NA
"Germany",2021,54,NA,NA
"Germany",2021,48,1,1
"Germany",2021,49,1,1
"Germany",2021,58,0,0
"Germany",2021,71,NA,NA
"Germany",2021,56,0,0
"Germany",2021,65,NA,0
"Germany",2021,48,1,0
"Germany",2021,73,1,1
"Germany",2021,48,1,1
"Germany",2021,64,1,1
"Germany",2021,30,0,0
"Germany",2021,37,1,1
"Germany",2021,44,1,1
"Germany",2021,66,1,0
"Germany",2021,68,1,1
"Germany",2021,50,1,1
"Germany",2021,63,1,1
"Germany",2021,27,NA,NA
"Germany",2021,30,1,1
"Germany",2021,38,1,1
"Germany",2021,63,1,0
"Germany",2021,24,0,0
"Germany",2021,69,0,0
"Germany",2021,28,1,1
"Germany",2021,51,0,0
"Germany",2021,43,0,0
"Germany",2021,40,0,0
"Germany",2021,68,0,0
"Germany",2021,41,1,1
"Germany",2021,64,1,1
"Germany",2021,36,1,1
"Germany",2021,66,0,0
"Germany",2021,50,0,0
"Germany",2021,83,1,1
"Germany",2021,70,1,1
"Germany",2021,74,0,0
"Germany",2021,28,1,1
"Germany",2021,64,1,1
"Germany",2021,58,1,0
"Germany",2021,34,0,0
"Germany",2021,22,0,0
"Germany",2021,23,0,0
"Germany",2021,67,1,1
"Germany",2021,88,1,1
"Germany",2021,36,0,0
"Germany",2021,42,0,0
"Germany",2021,75,0,0
"Germany",2021,46,0,0
"Germany",2021,73,1,1
"Germany",2021,25,1,0
"Germany",2021,72,1,1
"Germany",2021,70,1,1
"Germany",2021,70,NA,NA
"Germany",2021,67,1,1
"Germany",2021,38,1,0
"Germany",2021,46,1,1
"Germany",2021,53,1,1
"Germany",2021,30,1,1
"Germany",2021,42,1,1
"Germany",2021,51,1,0
"Germany",2021,40,NA,0
"Germany",2021,74,1,1
"Germany",2021,70,NA,0
"Germany",2021,43,0,0
"Germany",2021,51,NA,1
"Germany",2021,65,1,1
"Germany",2021,69,0,0
"Germany",2021,62,0,0
"Germany",2021,79,1,1
"Germany",2021,79,1,1
"Germany",2021,66,1,1
"Germany",2021,61,1,1
"Germany",2021,63,1,1
"Germany",2021,70,1,1
"Germany",2021,53,1,1
"Germany",2021,64,0,0
"Germany",2021,49,0,0
"Germany",2021,77,1,1
"Germany",2021,65,0,1
"Germany",2021,22,0,0
"Germany",2021,45,0,1
"Germany",2021,56,1,1
"Germany",2021,46,0,0
"Germany",2021,72,0,0
"Germany",2021,66,0,0
"Germany",2021,68,0,0
"Germany",2021,82,1,1
"Germany",2021,22,0,0
"Germany",2021,53,1,1
"Germany",2021,52,1,1
"Germany",2021,42,0,0
"Germany",2021,33,1,1
"Germany",2021,49,1,1
"Germany",2021,26,1,1
"Germany",2021,25,1,1
"Germany",2021,23,1,1
"Germany",2021,27,1,1
"Germany",2021,62,1,1
"Germany",2021,59,0,0
"Germany",2021,60,0,0
"Germany",2021,33,0,0
"Germany",2021,84,1,1
"Germany",2021,70,1,1
"Germany",2021,73,0,0
"Germany",2021,42,0,0
"Germany",2021,33,0,0
"Germany",2021,57,0,0
"Germany",2021,41,0,1
"Germany",2021,19,1,1
"Germany",2021,65,NA,0
"Germany",2021,79,1,1
"Germany",2021,28,0,0
"Germany",2021,19,0,1
"Germany",2021,19,NA,NA
"Germany",2021,27,1,1
"Germany",2021,21,1,1
"Germany",2021,80,1,1
"Germany",2021,21,NA,NA
"Germany",2021,63,0,0
"Germany",2021,49,1,0
"Germany",2021,28,1,0
"Germany",2021,24,0,0
"Germany",2021,45,1,0
"Germany",2021,56,0,0
"Germany",2021,24,1,1
"Germany",2021,57,0,0
"Germany",2021,49,1,1
"Germany",2021,54,0,0
"Germany",2021,79,1,1
"Germany",2021,46,1,1
"Germany",2021,24,1,1
"Germany",2021,24,0,0
"Germany",2021,20,1,1
"Germany",2021,84,1,1
"Germany",2021,72,1,1
"Germany",2021,38,NA,NA
"Germany",2021,78,NA,NA
"Germany",2021,34,0,0
"Germany",2021,32,1,1
"Germany",2021,57,0,1
"Germany",2021,36,0,0
"Germany",2021,76,1,1
"Germany",2021,62,1,1
"Germany",2021,80,NA,1
"Germany",2021,76,NA,NA
"Germany",2021,31,0,0
"Germany",2021,21,0,0
"Germany",2021,72,1,1
"Germany",2021,65,0,0
"Germany",2021,50,1,1
"Germany",2021,60,0,0
"Germany",2021,32,0,0
"Germany",2021,36,0,0
"Germany",2021,57,0,0
"Germany",2021,27,1,1
"Germany",2021,19,1,1
"Germany",2021,47,0,0
"Germany",2021,47,1,1
"Germany",2021,63,0,1
"Germany",2021,28,0,1
"Germany",2021,63,1,1
"Germany",2021,47,1,1
"Germany",2021,56,0,0
"Germany",2021,48,0,0
"Germany",2021,49,1,0
"Germany",2021,75,1,1
"Germany",2021,65,1,1
"Germany",2021,27,1,0
"Germany",2021,67,1,1
"Germany",2021,63,0,0
"Germany",2021,54,1,1
"Germany",2021,83,0,0
"Germany",2021,50,1,1
"Germany",2021,33,1,1
"Germany",2021,64,1,1
"Germany",2021,21,1,1
"Germany",2021,63,1,1
"Germany",2021,44,1,1
"Germany",2021,52,0,0
"Germany",2021,67,1,1
"Germany",2021,31,0,0
"Germany",2021,40,0,1
"Germany",2021,70,0,0
"Germany",2021,82,0,0
"Germany",2021,26,0,0
"Germany",2021,19,1,1
"Germany",2021,33,NA,NA
"Germany",2021,32,NA,NA
"Germany",2021,76,1,1
"Germany",2021,70,0,0
"Germany",2021,62,1,1
"Germany",2021,65,0,0
"Germany",2021,54,1,0
"Germany",2021,81,1,1
"Germany",2021,58,1,1
"Germany",2021,84,NA,1
"Germany",2021,61,0,0
"Germany",2021,53,0,0
"Germany",2021,65,0,0
"Germany",2021,27,1,1
"Germany",2021,84,1,1
"Germany",2021,40,1,1
"Germany",2021,29,0,0
"Germany",2021,32,0,0
"Germany",2021,43,1,0
"Germany",2021,46,1,0
"Germany",2021,67,0,0
"Germany",2021,86,1,1
"Germany",2021,71,0,0
"Germany",2021,20,0,1
"Germany",2021,78,0,0
"Germany",2021,79,1,1
"Germany",2021,71,0,0
"Germany",2021,39,1,1
"Germany",2021,70,0,0
"Germany",2021,69,0,0
"Germany",2021,41,1,1
"Germany",2021,66,0,0
"Germany",2021,70,1,1
"Germany",2021,22,1,1
"Germany",2021,68,0,0
"Germany",2021,73,1,1
"Germany",2021,30,1,1
"Germany",2021,27,0,0
"Germany",2021,78,1,1
"Germany",2021,61,0,0
"Germany",2021,20,1,1
"Germany",2021,26,0,0
"Germany",2021,76,1,1
"Germany",2021,73,0,0
"Germany",2021,67,1,1
"Germany",2021,31,0,0
"Germany",2021,50,0,0
"Germany",2021,51,0,0
"Germany",2021,66,NA,NA
"Germany",2021,21,0,0
"Germany",2021,65,1,1
"Germany",2021,55,1,0
"Germany",2021,63,1,1
"Germany",2021,36,0,0
"Germany",2021,37,NA,NA
"Germany",2021,30,1,1
"Germany",2021,62,0,0
"Germany",2021,62,0,0
"Germany",2021,39,0,0
"Germany",2021,32,0,0
"Germany",2021,77,1,1
"Germany",2021,45,0,0
"Germany",2021,31,0,0
"Germany",2021,26,1,1
"Germany",2021,26,NA,NA
"Germany",2021,69,0,0
"Germany",2021,28,0,0
"Germany",2021,42,1,1
"Germany",2021,43,1,1
"Germany",2021,60,0,0
"Germany",2021,30,0,0
"Germany",2021,68,0,1
"Germany",2021,39,0,0
"Germany",2021,80,1,1
"Germany",2021,43,1,1
"Germany",2021,32,0,0
"Germany",2021,34,0,0
"Germany",2021,59,1,0
"Germany",2021,67,1,1
"Germany",2021,43,0,0
"Germany",2021,56,1,1
"Germany",2021,44,0,0
"Germany",2021,68,1,1
"Germany",2021,50,0,0
"Germany",2021,64,0,NA
"Germany",2021,53,1,1
"Germany",2021,66,1,1
"Germany",2021,76,0,1
"Germany",2021,73,0,1
"Germany",2021,67,1,1
"Germany",2021,64,0,1
"Germany",2021,70,1,1
"Germany",2021,65,1,1
"Germany",2021,25,1,0
"Germany",2021,22,1,1
"Germany",2021,68,0,0
"Germany",2021,83,0,0
"Germany",2021,74,0,0
"Germany",2021,25,0,0
"Germany",2021,28,0,0
"Germany",2021,36,1,1
"Germany",2021,43,1,1
"Germany",2021,80,1,1
"Germany",2021,53,0,0
"Germany",2021,22,0,0
"Germany",2021,49,0,0
"Germany",2021,53,NA,1
"Germany",2021,33,1,1
"Germany",2021,62,1,1
"Germany",2021,42,1,1
"Germany",2021,68,0,0
"Germany",2021,59,0,0
"Germany",2021,59,0,0
"Germany",2021,52,1,0
"Germany",2021,77,0,0
"Germany",2021,36,1,1
"Germany",2021,68,0,0
"Germany",2021,52,0,0
"Germany",2021,36,1,1
"Germany",2021,33,1,1
"Germany",2021,26,1,1
"Germany",2021,30,1,1
"Germany",2021,40,0,0
"Germany",2021,88,0,0
"Germany",2021,50,1,NA
"Germany",2021,34,1,1
"Germany",2021,67,0,1
"Germany",2021,43,0,0
"Germany",2021,31,NA,NA
"Germany",2021,91,1,1
"Germany",2021,30,0,0
"Germany",2021,42,0,0
"Germany",2021,56,1,1
"Germany",2021,31,1,1
"Germany",2021,76,1,1
"Germany",2021,39,1,1
"Germany",2021,79,0,0
"Germany",2021,37,0,0
"Germany",2021,18,1,1
"Germany",2021,75,0,0
"Germany",2021,84,1,1
"Germany",2021,77,1,1
"Germany",2021,71,1,1
"Germany",2021,76,1,1
"Germany",2021,87,1,1
"Germany",2021,56,1,1
"Germany",2021,68,0,1
"Germany",2021,65,1,1
"Germany",2021,62,0,0
"Germany",2021,61,0,0
"Germany",2021,54,1,1
"Germany",2021,57,1,1
"Germany",2021,73,1,1
"Germany",2021,37,1,1
"Germany",2021,62,0,0
"Germany",2021,30,1,1
"Germany",2021,39,NA,1
"Germany",2021,62,0,0
"Germany",2021,47,0,0
"Germany",2021,46,0,0
"Germany",2021,22,0,0
"Germany",2021,52,0,0
"Germany",2021,57,1,1
"Germany",2021,52,1,1
"Germany",2021,77,1,1
"Germany",2021,78,0,0
"Germany",2021,68,1,1
"Germany",2021,54,1,1
"Germany",2021,43,1,1
"Germany",2021,53,1,0
"Germany",2021,55,1,0
"Germany",2021,50,1,1
"Germany",2021,70,0,0
"Germany",2021,66,0,0
"Germany",2021,46,1,1
"Germany",2021,62,1,1
"Germany",2021,79,0,0
"Germany",2021,31,1,1
"Germany",2021,21,NA,NA
"Germany",2021,25,1,1
"Germany",2021,50,0,1
"Germany",2021,39,1,0
"Germany",2021,79,1,1
"Germany",2021,44,0,0
"Germany",2021,30,1,0
"Germany",2021,69,1,1
"Germany",2021,55,1,1
"Germany",2021,48,1,1
"Germany",2021,62,1,1
"Germany",2021,75,0,0
"Germany",2021,44,0,0
"Germany",2021,66,0,0
"Germany",2021,55,0,0
"Germany",2021,36,0,0
"Germany",2021,67,NA,NA
"Germany",2021,82,NA,NA
"Germany",2021,62,1,1
"Germany",2021,60,1,1
"Germany",2021,42,1,1
"Germany",2021,65,1,1
"Germany",2021,23,1,1
"Germany",2021,80,1,1
"Germany",2021,47,NA,0
"Germany",2021,52,NA,NA
"Germany",2021,72,1,1
"Germany",2021,86,1,1
"Germany",2021,72,0,0
"Germany",2021,61,1,1
"Germany",2021,36,0,0
"Germany",2021,24,1,1
"Germany",2021,52,1,1
"Germany",2021,26,1,0
"Germany",2021,60,1,1
"Germany",2021,69,NA,NA
"Germany",2021,59,0,0
"Germany",2021,77,1,1
"Germany",2021,75,1,1
"Germany",2021,35,1,0
"Germany",2021,40,1,1
"Germany",2021,73,1,1
"Germany",2021,72,0,0
"Germany",2021,28,1,1
"Germany",2021,71,NA,NA
"Germany",2021,21,1,1
"Germany",2021,56,1,1
"Germany",2021,34,0,0
"Germany",2021,27,0,0
"Germany",2021,22,1,1
"Germany",2021,26,1,1
"Germany",2021,75,1,1
"Germany",2021,73,1,1
"Germany",2021,31,0,0
"Germany",2021,57,0,0
"Germany",2021,52,1,1
"Germany",2021,49,1,1
"Germany",2021,60,1,1
"Germany",2021,25,1,1
"Germany",2021,58,0,0
"Germany",2021,41,1,1
"Germany",2021,39,0,0
"Germany",2021,66,0,0
"Germany",2021,24,1,1
"Germany",2021,21,0,0
"Germany",2021,35,0,0
"Germany",2021,35,1,0
"Germany",2021,79,1,1
"Germany",2021,37,0,0
"Germany",2021,81,1,1
"Germany",2021,53,1,1
"Germany",2021,43,1,1
"Germany",2021,55,NA,1
"Germany",2021,80,1,1
"Germany",2021,68,0,0
"Germany",2021,56,1,0
"Germany",2021,59,0,1
"Germany",2021,63,0,1
"Germany",2021,30,NA,1
"Germany",2021,49,1,1
"Germany",2021,51,1,0
"Germany",2021,67,NA,1
"Germany",2021,68,1,1
"Germany",2021,55,1,1
"Germany",2021,49,1,1
"Germany",2021,70,0,0
"Germany",2021,87,1,1
"Germany",2021,23,1,1
"Germany",2021,58,1,1
"Germany",2021,58,1,1
"Germany",2021,39,NA,1
"Germany",2021,56,1,1
"Germany",2021,58,0,0
"Germany",2021,68,NA,1
"Germany",2021,63,1,1
"Germany",2021,48,NA,1
"Germany",2021,68,NA,1
"Germany",2021,68,1,1
"Germany",2021,53,0,0
"Germany",2021,53,1,1
"Germany",2021,89,1,1
"Germany",2021,55,1,0
"Germany",2021,79,1,0
"France",2021,29,0,0
"France",2021,73,1,1
"France",2021,89,NA,0
"France",2021,78,1,1
"France",2021,51,0,1
"France",2021,60,0,0
"France",2021,23,1,0
"France",2021,59,0,1
"France",2021,93,NA,NA
"France",2021,51,1,1
"France",2021,58,1,1
"France",2021,38,1,1
"France",2021,89,1,1
"France",2021,53,1,1
"France",2021,56,1,1
"France",2021,19,0,0
"France",2021,29,0,0
"France",2021,86,1,1
"France",2021,37,0,0
"France",2021,79,0,0
"France",2021,22,0,0
"France",2021,96,1,1
"France",2021,79,NA,1
"France",2021,40,0,0
"France",2021,37,0,0
"France",2021,43,0,0
"France",2021,85,0,0
"France",2021,49,0,NA
"France",2021,63,1,1
"France",2021,49,1,1
"France",2021,63,0,0
"France",2021,62,0,1
"France",2021,21,0,0
"France",2021,35,0,0
"France",2021,67,0,0
"France",2021,70,0,0
"France",2021,74,0,0
"France",2021,60,1,1
"France",2021,38,0,0
"France",2021,55,0,1
"France",2021,39,0,0
"France",2021,30,0,0
"France",2021,91,0,1
"France",2021,29,0,0
"France",2021,52,1,0
"France",2021,68,0,0
"France",2021,65,0,0
"France",2021,33,0,0
"France",2021,92,1,1
"France",2021,72,0,0
"France",2021,64,0,0
"France",2021,44,0,0
"France",2021,70,0,0
"France",2021,41,1,1
"France",2021,69,0,0
"France",2021,76,1,1
"France",2021,45,0,0
"France",2021,47,0,0
"France",2021,59,0,0
"France",2021,21,0,1
"France",2021,57,0,0
"France",2021,41,1,0
"France",2021,37,0,0
"France",2021,75,NA,NA
"France",2021,60,0,0
"France",2021,71,0,0
"France",2021,86,0,0
"France",2021,42,0,0
"France",2021,58,1,1
"France",2021,44,0,0
"France",2021,74,NA,NA
"France",2021,41,NA,0
"France",2021,74,NA,NA
"France",2021,63,NA,1
"France",2021,56,0,0
"France",2021,59,NA,NA
"France",2021,47,NA,0
"France",2021,27,1,1
"France",2021,31,0,0
"France",2021,57,1,0
"France",2021,28,0,0
"France",2021,35,0,0
"France",2021,53,0,0
"France",2021,67,0,0
"France",2021,64,1,1
"France",2021,79,0,0
"France",2021,35,0,0
"France",2021,53,1,1
"France",2021,52,1,1
"France",2021,67,1,1
"France",2021,23,0,0
"France",2021,18,NA,NA
"France",2021,66,0,0
"France",2021,75,0,0
"France",2021,74,0,1
"France",2021,92,1,1
"France",2021,53,0,0
"France",2021,72,0,0
"France",2021,26,NA,0
"France",2021,30,0,0
"France",2021,68,1,0
"France",2021,58,0,0
"France",2021,64,0,0
"France",2021,42,1,1
"France",2021,49,0,0
"France",2021,77,NA,NA
"France",2021,54,0,0
"France",2021,30,0,0
"France",2021,52,0,0
"France",2021,64,1,1
"France",2021,98,NA,1
"France",2021,74,0,0
"France",2021,38,0,0
"France",2021,74,0,1
"France",2021,49,1,1
"France",2021,59,NA,NA
"France",2021,77,0,0
"France",2021,70,0,0
"France",2021,54,0,0
"France",2021,59,NA,0
"France",2021,58,0,0
"France",2021,16,1,0
"France",2021,15,1,1
"France",2021,55,1,0
"France",2021,49,0,0
"France",2021,56,1,0
"France",2021,35,1,1
"France",2021,70,NA,NA
"France",2021,42,0,0
"France",2021,38,0,0
"France",2021,24,NA,1
"France",2021,68,0,0
"France",2021,77,0,0
"France",2021,75,0,0
"France",2021,73,0,1
"France",2021,64,0,0
"France",2021,30,NA,0
"France",2021,51,0,1
"France",2021,32,0,0
"France",2021,78,0,0
"France",2021,90,0,1
"France",2021,46,0,0
"France",2021,49,0,0
"France",2021,32,0,1
"France",2021,58,1,1
"France",2021,42,0,0
"France",2021,51,1,1
"France",2021,56,0,0
"France",2021,48,1,1
"France",2021,64,1,1
"France",2021,18,0,0
"France",2021,43,0,0
"France",2021,48,0,0
"France",2021,34,0,0
"France",2021,31,NA,NA
"France",2021,68,1,1
"France",2021,75,1,1
"France",2021,68,0,0
"France",2021,88,0,0
"France",2021,57,1,0
"France",2021,28,0,0
"France",2021,62,0,0
"France",2021,62,NA,1
"France",2021,23,0,0
"France",2021,89,1,1
"France",2021,72,0,NA
"France",2021,61,NA,1
"France",2021,71,0,0
"France",2021,47,0,0
"France",2021,37,0,0
"France",2021,16,0,0
"France",2021,78,1,1
"France",2021,45,0,0
"France",2021,15,1,1
"France",2021,31,0,0
"France",2021,49,0,0
"France",2021,68,0,0
"France",2021,45,1,1
"France",2021,45,1,1
"France",2021,33,0,0
"France",2021,54,1,0
"France",2021,37,1,0
"France",2021,17,NA,NA
"France",2021,50,0,0
"France",2021,80,NA,0
"France",2021,61,1,1
"France",2021,72,0,0
"France",2021,25,1,1
"France",2021,73,0,0
"France",2021,59,NA,NA
"France",2021,31,1,1
"France",2021,25,0,0
"France",2021,62,1,0
"France",2021,47,0,0
"France",2021,72,0,0
"France",2021,56,1,0
"France",2021,58,0,0
"France",2021,29,0,0
"France",2021,66,0,0
"France",2021,54,0,0
"France",2021,65,1,1
"France",2021,33,NA,0
"France",2021,20,0,0
"France",2021,57,0,0
"France",2021,64,0,0
"France",2021,63,NA,NA
"France",2021,54,NA,0
"France",2021,25,NA,NA
"France",2021,30,1,1
"France",2021,76,0,0
"France",2021,53,0,0
"France",2021,22,1,1
"France",2021,33,NA,0
"France",2021,85,0,1
"France",2021,65,0,0
"France",2021,32,0,0
"France",2021,29,0,0
"France",2021,65,1,1
"France",2021,73,1,1
"France",2021,43,1,1
"France",2021,65,0,0
"France",2021,70,0,0
"France",2021,50,0,0
"France",2021,45,0,0
"France",2021,33,NA,NA
"France",2021,55,0,0
"France",2021,81,1,1
"France",2021,24,1,1
"France",2021,42,0,0
"France",2021,61,1,0
"France",2021,34,0,0
"France",2021,44,0,0
"France",2021,62,0,0
"France",2021,40,0,0
"France",2021,64,1,1
"France",2021,57,1,1
"France",2021,89,0,0
"France",2021,54,1,1
"France",2021,50,0,0
"France",2021,72,0,0
"France",2021,28,0,0
"France",2021,56,0,0
"France",2021,67,0,0
"France",2021,82,0,1
"France",2021,62,0,0
"France",2021,54,0,0
"France",2021,63,0,1
"France",2021,54,0,0
"France",2021,62,0,0
"France",2021,70,0,0
"France",2021,36,1,1
"France",2021,35,0,0
"France",2021,53,0,0
"France",2021,61,0,0
"France",2021,28,1,1
"France",2021,69,1,0
"France",2021,85,0,0
"France",2021,60,NA,NA
"France",2021,36,0,0
"France",2021,18,1,1
"France",2021,36,0,0
"France",2021,22,1,0
"France",2021,62,0,0
"France",2021,64,0,0
"France",2021,22,1,1
"France",2021,56,1,0
"France",2021,52,0,0
"France",2021,60,0,0
"France",2021,81,0,0
"France",2021,39,0,1
"France",2021,21,1,1
"France",2021,43,0,1
"France",2021,35,0,0
"France",2021,18,0,0
"France",2021,93,1,1
"France",2021,75,1,1
"France",2021,50,0,0
"France",2021,56,0,0
"France",2021,32,0,0
"France",2021,22,1,1
"France",2021,65,1,1
"France",2021,69,0,0
"France",2021,34,0,0
"France",2021,50,0,0
"France",2021,64,1,1
"France",2021,82,0,0
"France",2021,36,0,0
"France",2021,85,NA,NA
"France",2021,85,NA,NA
"France",2021,33,0,1
"France",2021,72,NA,0
"France",2021,30,0,0
"France",2021,58,0,0
"France",2021,21,0,0
"France",2021,21,0,0
"France",2021,76,0,0
"France",2021,38,0,0
"France",2021,61,0,0
"France",2021,73,0,0
"France",2021,39,0,0
"France",2021,73,0,0
"France",2021,55,0,0
"France",2021,44,0,0
"France",2021,62,0,0
"France",2021,88,NA,NA
"France",2021,32,0,0
"France",2021,62,0,1
"France",2021,58,0,0
"France",2021,45,0,0
"France",2021,47,0,0
"France",2021,18,1,0
"France",2021,49,1,0
"France",2021,29,0,0
"France",2021,61,0,0
"France",2021,83,1,NA
"France",2021,37,0,0
"France",2021,74,1,1
"France",2021,58,0,0
"France",2021,52,1,0
"France",2021,43,0,0
"France",2021,69,0,0
"France",2021,47,0,0
"France",2021,68,NA,NA
"France",2021,44,0,0
"France",2021,30,0,0
"France",2021,32,0,0
"France",2021,63,0,0
"France",2021,80,0,0
"France",2021,16,1,1
"France",2021,66,1,1
"France",2021,55,0,0
"France",2021,61,NA,1
"France",2021,78,0,0
"France",2021,19,0,0
"France",2021,15,0,0
"France",2021,17,1,1
"France",2021,16,1,1
"France",2021,25,NA,NA
"France",2021,72,0,1
"France",2021,46,0,0
"France",2021,75,NA,NA
"France",2021,68,0,0
"France",2021,24,1,0
"France",2021,53,1,0
"France",2021,77,1,1
"France",2021,65,0,0
"France",2021,23,0,1
"France",2021,71,0,0
"France",2021,48,0,0
"France",2021,55,1,0
"France",2021,60,0,0
"France",2021,75,0,0
"France",2021,55,1,1
"France",2021,16,1,1
"France",2021,25,NA,0
"France",2021,20,1,1
"France",2021,23,1,1
"France",2021,25,0,0
"France",2021,71,1,NA
